index,family,recommendation,reason,instruction,output_duplicate_count
0,HC-SR04+SG90 automation,KEEP,retain small representative automation subset,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic demonstration lid. Use D4 for TRIG, D7 for ECHO, and D5 for the servo signal. Open when an object is 55 cm or nearer. Keep it open while the object is present. Start a 1.2-second closi",1
1,HC-SR04+SG90 automation,KEEP,retain small representative automation subset,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic storage-box lid. Use D7 for TRIG, D8 for ECHO, and D6 for the servo signal. Open when an object is 36 cm or nearer. Keep it open while the object is present. Start a 2.4-second closing",1
2,Kiswahili beginner,KEEP,unique or useful skill,Elezea kwa Kiswahili rahisi maana ya loop. Usitumie istilahi ngumu bila kuzieleza.,4
3,HC-SR04+SG90 automation,KEEP,retain small representative automation subset,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic cabinet lid. Use D4 for TRIG, D7 for ECHO, and D5 for the servo signal. Open when an object is 48 cm or nearer. Keep it open while the object is present. Start a 2.8-second closing tim",1
4,HC-SR04+SG90 automation,KEEP,retain small representative automation subset,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a proximity-controlled flap. Use D8 for TRIG, D9 for ECHO, and D6 for the servo signal. Open when an object is 18 cm or nearer. Keep it open while the object is present. Start a 2.8-second closing",1
5,HC-SR04+SG90 automation,KEEP,retain small representative automation subset,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic demonstration lid. Use D4 for TRIG, D7 for ECHO, and D3 for the servo signal. Open when an object is 22 cm or nearer. Keep it open while the object is present. Start a 1.2-second closi",1
6,HC-SR04+SG90 automation,KEEP,retain small representative automation subset,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a automatic demonstration lid. Use D4 for TRIG, D7 for ECHO, and D3 for the servo signal. Open when an object is 18 cm or nearer. Keep it open while the object is present. Start a 4-second closing",1
7,Kiswahili beginner,KEEP,unique or useful skill,Mwanafunzi mpya wa programming anauliza kuhusu list. Usitumie istilahi ngumu bila kuzieleza.,3
8,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a contactless classroom container lid. Use D4 for TRIG, D7 for ECHO, and D6 for the servo signal. Open when an object is 22 cm or nearer. Keep it open while the object is present. Start a 2.4-seco",1
9,Kiswahili beginner,KEEP,unique or useful skill,Elezea kwa Kiswahili rahisi maana ya function. Usitumie istilahi ngumu bila kuzieleza.,3
10,Python,KEEP,unique or useful skill,Write a Python function that counts even numbers.,1
11,HC-SR04+SG90 automation,REDUCE,overrepresented HC-SR04+SG90 automation family,"I have only an Arduino Uno, one HC-SR04 ultrasonic sensor, one SG90 servo motor and jumper wires. Build a contactless classroom container lid. Use D7 for TRIG, D8 for ECHO, and D9 for the servo signal. Open when an object is 65 cm or nearer. Keep it open while the object is present. Start a 2.4-seco",1
